year,importer1,id1,importer2,id2,flow1,flow2
1996,United States of America,USA,Canada,CAN,159746.41,126088.38
1996,United States of America,USA,Bahamas,BHS,178.3,797.5
1996,United States of America,USA,Cuba,CUB,0,6.0500002
1996,United States of America,USA,Haiti,HTI,151.3,520.84998
1996,United States of America,USA,Dominican Republic,DOM,3677,659.91528
1996,United States of America,USA,Jamaica,JAM,889.79999,1639.88
1996,United States of America,USA,Trinidad and Tobago,TTO,1105.5,817.83118
1996,United States of America,USA,Barbados,BRB,42.5,360.84164
1996,United States of America,USA,Dominica,DMA,8.5,53.171349
1996,United States of America,USA,Grenada,GRD,4,65.451088
1996,United States of America,USA,St. Lucia,LCA,23.200001,115.63366
1996,United States of America,USA,St. Vincent and the Grenadines,VCT,6.9000001,56.700989
1996,United States of America,USA,Antigua & Barbuda,ATG,8.8000002,81.699997
1996,United States of America,USA,St. Kitts and Nevis,KNA,24.6,57.200001
1996,United States of America,USA,Mexico,MEX,74111.102,74391.898
1996,United States of America,USA,Belize,BLZ,72.699997,141.017
1996,United States of America,USA,Guatemala,GTM,1785.5,1409.5981
1996,United States of America,USA,Honduras,HND,1899.8,857.59998
1996,United States of America,USA,El Salvador,SLV,1111.3,1063.5658
1996,United States of America,USA,Nicaragua,NIC,367.79999,368.20001
1996,United States of America,USA,Costa Rica,CRI,2121,1651.1741
1996,United States of America,USA,Panama,PAN,388.10001,1052.0571
1996,United States of America,USA,Colombia,COL,4525.1001,5194.9673
1996,United States of America,USA,Venezuela,VEN,13718.6,4115
1996,United States of America,USA,Guyana,GUY,129.39999,150.37
1996,United States of America,USA,Suriname,SUR,101.6,186.5
1996,United States of America,USA,Ecuador,ECU,2121.3999,1174.0812
1996,United States of America,USA,Peru,PER,1337.1,2575.6995
1996,United States of America,USA,Brazil,BRA,9296.7002,13016.14
1996,United States of America,USA,Bolivia,BOL,283.89999,459.1171
1996,United States of America,USA,Paraguay,PRY,46.5,341.55441
1996,United States of America,USA,Chile,CHL,2580.5,4109.4199
1996,United States of America,USA,Argentina,ARG,2450.7,4749.2998
1996,United States of America,USA,Uruguay,URY,273,405.79901
1996,United States of America,USA,United Kingdom,GBR,29699.9,36002.164
1996,United States of America,USA,Ireland,IRL,4870.5,5528.9663
1996,United States of America,USA,Netherlands,NLD,7011.8999,14689.126
1996,United States of America,USA,Belgium,BEL,6703.978,8784.5273
1996,United States of America,USA,Luxembourg,LUX,483.62271,633.71289
1996,United States of America,USA,France,FRA,19196.4,21455.014
1996,United States of America,USA,Monaco,MCO,-9,-9
1996,United States of America,USA,Liechtenstein,LIE,-9,-9
1996,United States of America,USA,Switzerland,CHE,8028.7998,5578.1836
1996,United States of America,USA,Spain,ESP,4563.3999,7719.5386
1996,United States of America,USA,Andorra,AND,-9,-9
1996,United States of America,USA,Portugal,PRT,1066.8,1083.1189
1996,United States of America,USA,Germany,DEU,39989.398,32551.436
1996,United States of America,USA,Poland,POL,668.5,1645.926
1996,United States of America,USA,Austria,AUT,2281.3,3002.0632
1996,United States of America,USA,Hungary,HUN,702,568.88702
1996,United States of America,USA,Czech Republic,CZE,463.39999,1033.5291
1996,United States of America,USA,Slovakia,SVK,133.60001,323.11786
1996,United States of America,USA,Italy,ITA,19001.4,10160.695
1996,United States of America,USA,San Marino,SMR,-9,-9
1996,United States of America,USA,Malta,MLT,211.39999,193.35718
1996,United States of America,USA,Albania,ALB,11.2,11.251791
1996,United States of America,USA,Macedonia,MKD,131.39999,67.93943
1996,United States of America,USA,Croatia,HRV,75.699997,212.83
1996,United States of America,USA,Yugoslavia,YUG,-9,-9
1996,United States of America,USA,Bosnia and Herzegovina,BIH,9.6000004,64.239998
1996,United States of America,USA,Slovenia,SVN,304.70001,325.48099
1996,United States of America,USA,Greece,GRC,535.70001,952.20001
1996,United States of America,USA,Cyprus,CYP,18.5,670.97675
1996,United States of America,USA,Bulgaria,BGR,136.39999,111.707
1996,United States of America,USA,Moldova,MDA,32,33.118999
1996,United States of America,USA,Romania,ROU,269.10001,375.79999
1996,United States of America,USA,Russia,RUS,3745.2,2895.5959
1996,United States of America,USA,Estonia,EST,65.199997,73.279198
1996,United States of America,USA,Latvia,LVA,106.5,52.690449
1996,United States of America,USA,Lithuania,LTU,37.200001,92.7929
1996,United States of America,USA,Ukraine,UKR,575.09998,569.79999
1996,United States of America,USA,Belarus,BLR,56.700001,151.657
1996,United States of America,USA,Armenia,ARM,1.4,103.5644
1996,United States of America,USA,Georgia,GEO,7.8000002,32.785
1996,United States of America,USA,Azerbaijan,AZE,5.0999999,16.814199
1996,United States of America,USA,Finland,FIN,2464.5,2142.6465
1996,United States of America,USA,Sweden,SWE,7375.3999,3859.4348
1996,United States of America,USA,Norway,NOR,4057.7,2228.1155
1996,United States of America,USA,Denmark,DNK,2222.7,2105.7188
1996,United States of America,USA,Iceland,ISL,252.60001,193.09079
1996,United States of America,USA,Cape Verde,CPV,-9,-9
1996,United States of America,USA,Sao Tome and Principe,STP,0.5,0.22
1996,United States of America,USA,Guinea-Bissau,GNB,0,7.5900002
1996,United States of America,USA,Equatorial Guinea,GNQ,81.800003,18.48
1996,United States of America,USA,Gambia,GMB,2,17.531506
1996,United States of America,USA,Mali,MLI,5.8000002,20.24
1996,United States of America,USA,Senegal,SEN,5.9000001,69.70105
1996,United States of America,USA,Benin,BEN,19.6,20.363308
1996,United States of America,USA,Mauritania,MRT,7,16.940001
1996,United States of America,USA,Niger,NER,0.69999999,15.513561
1996,United States of America,USA,Ivory Coast,CIV,431.10001,166.38664
1996,United States of America,USA,Guinea,GIN,143,45.899113
1996,United States of America,USA,Burkina Faso,BFA,4,24.607662
1996,United States of America,USA,Liberia,LBR,26.9,54.779999
1996,United States of America,USA,Sierra Leone,SLE,23,31.24
1996,United States of America,USA,Ghana,GHA,178.89999,324.82999
1996,United States of America,USA,Togo,TGO,6.0999999,27.127361
1996,United States of America,USA,Cameroon,CMR,70.800003,102.3004
1996,United States of America,USA,Nigeria,NGA,6171.5,897.82001
1996,United States of America,USA,Gabon,GAB,2067.1001,93.400002
1996,United States of America,USA,Central African Republic,CAF,0.30000001,3.96
1996,United States of America,USA,Chad,TCD,7.4000001,3.74
1996,United States of America,USA,Congo,COG,337,68.639999
1996,United States of America,USA,Democratic Republic of the Congo,COD,259.60001,80.629997
1996,United States of America,USA,Uganda,UGA,16.9,18.809999
1996,United States of America,USA,Kenya,KEN,112.6,147.08911
1996,United States of America,USA,Tanzania,TZA,20.299999,55.220001
1996,United States of America,USA,Burundi,BDI,2.0999999,5.7051001
1996,United States of America,USA,Rwanda,RWA,9.1000004,41.029999
1996,United States of America,USA,Somalia,SOM,0.1,4.6199999
1996,United States of America,USA,Djibouti,DJI,0,8.9099998
1996,United States of America,USA,Ethiopia,ETH,36.099998,58.960354
1996,United States of America,USA,Eritrea,ERI,1.8,13.9
1996,United States of America,USA,Angola,AGO,2855.2,294.79999
1996,United States of America,USA,Mozambique,MOZ,27.5,32.625
1996,United States of America,USA,Zambia,ZMB,65.099998,40.615433
1996,United States of America,USA,Zimbabwe,ZWE,144.8,140.68327
1996,United States of America,USA,Malawi,MWI,78.199997,14.74
1996,United States of America,USA,South Africa,ZAF,2435.8,3106
1996,United States of America,USA,Namibia,NAM,28.1,22.1
1996,United States of America,USA,Lesotho,LSO,68,2.5999999
1996,United States of America,USA,Botswana,BWA,27.5,28.9
1996,United States of America,USA,Swaziland,SWZ,32.599998,2.2
1996,United States of America,USA,Madagascar,MDG,48.099998,25.357075
1996,United States of America,USA,Comoros,COM,6.3000002,0
1996,United States of America,USA,Mauritius,MUS,230,71.706886
1996,United States of America,USA,Seychelles,SYC,3,100.52348
1996,United States of America,USA,Morocco,MAR,275.10001,612.21619
1996,United States of America,USA,Algeria,DZA,2270.2,931.29901
1996,United States of America,USA,Tunisia,TUN,81.199997,347.58896
1996,United States of America,USA,Libya,LBY,0,0
1996,United States of America,USA,Sudan,SDN,19.6,55.220001
1996,United States of America,USA,Iran,IRN,3,82.599998
1996,United States of America,USA,Turkey,TUR,1883.1,3203.2798
1996,United States of America,USA,Iraq,IRQ,0,3.0799999
1996,United States of America,USA,Egypt,EGY,713.90002,2608.7527
1996,United States of America,USA,Syria,SYR,16.200001,389.65701
1996,United States of America,USA,Lebanon,LBN,42.799999,824.8858
1996,United States of America,USA,Jordan,JOR,26.4,415.9433
1996,United States of America,USA,Israel,ISR,6546,5981.6001
1996,United States of America,USA,Saudi Arabia,SAU,9442.9004,6080.9707
1996,United States of America,USA,Yemen,YEM,31,139.64839
1996,United States of America,USA,Kuwait,KWT,1782.2,1398.496
1996,United States of America,USA,Bahrain,BHR,124.3,272.646
1996,United States of America,USA,Qatar,QAT,163.2,387.5
1996,United States of America,USA,United Arab Emirates,ARE,538,2494
1996,United States of America,USA,Oman,OMN,447.5,345.418
1996,United States of America,USA,Afghanistan,AFG,17.6,18.48
1996,United States of America,USA,Turkmenistan,TKM,42,395.229
1996,United States of America,USA,Tajikistan,TJK,34.400002,15.9718
1996,United States of America,USA,Kyrgyzstan,KGZ,5.0999999,35.700001
1996,United States of America,USA,Uzbekistan,UZB,165.3,386.98001
1996,United States of America,USA,Kazakhstan,KAZ,119.9,66.300003
1996,United States of America,USA,China,CHN,54408.898,16178.943
1996,United States of America,USA,Mongolia,MNG,33.400002,11.09
1996,United States of America,USA,Taiwan,TWN,31022.699,18412.699
1996,United States of America,USA,North Korea,PRK,0,0.55000001
1996,United States of America,USA,South Korea,KOR,23297.4,33322.801
1996,United States of America,USA,Japan,JPN,117962.9,79896.68
1996,United States of America,USA,India,IND,6528.3999,3186.8579
1996,United States of America,USA,Bhutan,BTN,0.1,0.1
1996,United States of America,USA,Pakistan,PAK,1348.7,1291.0786
1996,United States of America,USA,Bangladesh,BGD,1423,250.49258
1996,United States of America,USA,Myanmar,MMR,116.2,35.200001
1996,United States of America,USA,Sri Lanka,LKA,1476.8,198
1996,United States of America,USA,Maldives,MDV,12.5,3.5482583
1996,United States of America,USA,Nepal,NPL,130.5,13.9
1996,United States of America,USA,Thailand,THA,11798.4,9240.3887
1996,United States of America,USA,Cambodia,KHM,4.5,23.540001
1996,United States of America,USA,Laos,LAO,17.5,1.6
1996,United States of America,USA,Vietnam,VNM,341.79999,245.871
1996,United States of America,USA,Malaysia,MYS,18330.699,12133.217
1996,United States of America,USA,Singapore,SGP,20648.4,21549.191
1996,United States of America,USA,Brunei,BRN,50.5,613.90002
1996,United States of America,USA,Philippines,PHL,8495.7002,6243
1996,United States of America,USA,Indonesia,IDN,8742.5996,5059.812
1996,United States of America,USA,Australia,AUS,4127.2998,15804.115
1996,United States of America,USA,Papua New Guinea,PNG,91.199997,76.120003
1996,United States of America,USA,New Zealand,NZL,1608.4,2464.3638
1996,United States of America,USA,Vanuatu,VUT,0.69999999,0.76999998
1996,United States of America,USA,Solomon Islands,SLB,2.3,7.8099999
1996,United States of America,USA,Fiji,FJI,83.900002,91.850372
1996,United States of America,USA,Marshall Islands,MHL,-9,-9
1996,United States of America,USA,Palau,PLW,-9,-9
1996,United States of America,USA,Federated States of Micronesia,FSM,-9,-9
1996,United States of America,USA,Samoa,WSM,1.2,12.98
1996,Canada,CAN,Bahamas,BHS,18.877314,13.867146
1996,Canada,CAN,Cuba,CUB,323.2832,187.06198
1996,Canada,CAN,Haiti,HTI,2.5080826,23.698877
1996,Canada,CAN,Dominican Republic,DOM,74.219666,13.9183
1996,Canada,CAN,Jamaica,JAM,192.9651,63.476498
1996,Canada,CAN,Trinidad and Tobago,TTO,37.740925,78.330109
1996,Canada,CAN,Barbados,BRB,12.6659,42.464653
1996,Canada,CAN,Dominica,DMA,1.1271471,2.6466141
1996,Canada,CAN,Grenada,GRD,0.45195469,4.6852927
1996,Canada,CAN,St. Lucia,LCA,1.2896491,8.8053923
1996,Canada,CAN,St. Vincent and the Grenadines,VCT,0.28283679,4.0049644
1996,Canada,CAN,Antigua & Barbuda,ATG,1.5297813,19.885485
1996,Canada,CAN,St. Kitts and Nevis,KNA,2.2177746,2.0592787
1996,Canada,CAN,Mexico,MEX,4708.9922,1917.9204
1996,Canada,CAN,Belize,BLZ,6.3978758,3.9665
1996,Canada,CAN,Guatemala,GTM,83.176109,56.208302
1996,Canada,CAN,Honduras,HND,41.168015,12.1
1996,Canada,CAN,El Salvador,SLV,22.377089,26.131563
1996,Canada,CAN,Nicaragua,NIC,7.8609462,22.700001
1996,Canada,CAN,Costa Rica,CRI,118.29138,47.816162
1996,Canada,CAN,Panama,PAN,19.215822,25.849512
1996,Canada,CAN,Colombia,COL,239.45251,512.38513
1996,Canada,CAN,Venezuela,VEN,552.12512,210
1996,Canada,CAN,Guyana,GUY,164.70357,7.5387273
1996,Canada,CAN,Suriname,SUR,10.108789,4.5500002
1996,Canada,CAN,Ecuador,ECU,103.86125,49.534214
1996,Canada,CAN,Peru,PER,101.95091,197.42909
1996,Canada,CAN,Brazil,BRA,899.09814,1382.7424
1996,Canada,CAN,Bolivia,BOL,13.837185,42.721981
1996,Canada,CAN,Paraguay,PRY,2.3539863,5.7651
1996,Canada,CAN,Chile,CHL,276.06036,408.10001
1996,Canada,CAN,Argentina,ARG,150.4752,275.42953
1996,Canada,CAN,Uruguay,URY,27.077608,25.289
1996,Canada,CAN,United Kingdom,GBR,4733.4346,3872.9546
1996,Canada,CAN,Ireland,IRL,486.91214,249.8325
1996,Canada,CAN,Netherlands,NLD,772.17029,895.54059
1996,Canada,CAN,Belgium,BEL,642.05261,789.20691
1996,Canada,CAN,Luxembourg,LUX,46.317459,56.933121
1996,Canada,CAN,France,FRA,2754.8518,1672.1284
1996,Canada,CAN,Monaco,MCO,-9,-9
1996,Canada,CAN,Liechtenstein,LIE,-9,-9
1996,Canada,CAN,Switzerland,CHE,756.19379,332.8486
1996,Canada,CAN,Spain,ESP,540.77563,560.23303
1996,Canada,CAN,Andorra,AND,-9,-9
1996,Canada,CAN,Portugal,PRT,142.35387,116.89926
1996,Canada,CAN,Germany,DEU,3878.7869,3295.4172
1996,Canada,CAN,Poland,POL,116.5325,182.804
1996,Canada,CAN,Austria,AUT,509.58865,443.8916
1996,Canada,CAN,Hungary,HUN,38.492352,47.146999
1996,Canada,CAN,Czech Republic,CZE,77.218201,96.775116
1996,Canada,CAN,Slovakia,SVK,16.132351,31.658949
1996,Canada,CAN,Italy,ITA,2206.4204,1858.96
1996,Canada,CAN,San Marino,SMR,-9,-9
1996,Canada,CAN,Malta,MLT,47.375198,4.0404496
1996,Canada,CAN,Albania,ALB,0.11101486,0.23445219
1996,Canada,CAN,Macedonia,MKD,3.2274182,4.0655508
1996,Canada,CAN,Croatia,HRV,10.129272,16.82
1996,Canada,CAN,Yugoslavia,YUG,-9,-9
1996,Canada,CAN,Bosnia and Herzegovina,BIH,0.12426286,2.2114537
1996,Canada,CAN,Slovenia,SVN,44.372391,40.146
1996,Canada,CAN,Greece,GRC,54.272488,108.6
1996,Canada,CAN,Cyprus,CYP,4.0474162,13.576769
1996,Canada,CAN,Bulgaria,BGR,40.154221,8.757
1996,Canada,CAN,Moldova,MDA,3.7415898,1.7979
1996,Canada,CAN,Romania,ROU,33.482044,45.400002
1996,Canada,CAN,Russia,RUS,357.82562,338.60251
1996,Canada,CAN,Estonia,EST,5.8002682,21.7362
1996,Canada,CAN,Latvia,LVA,5.0582247,5.8081355
1996,Canada,CAN,Lithuania,LTU,11.316853,25.899099
1996,Canada,CAN,Ukraine,UKR,15.388577,46.599998
1996,Canada,CAN,Belarus,BLR,4.3475614,8.0229998
1996,Canada,CAN,Armenia,ARM,0.029625334,1.1948
1996,Canada,CAN,Georgia,GEO,0.35408735,0.077
1996,Canada,CAN,Azerbaijan,AZE,0.0456465,0.21250001
1996,Canada,CAN,Finland,FIN,337.56982,176.33305
1996,Canada,CAN,Sweden,SWE,973.04651,239.7272
1996,Canada,CAN,Norway,NOR,2239.8516,738.71381
1996,Canada,CAN,Denmark,DNK,295.40237,163.47865
1996,Canada,CAN,Iceland,ISL,104.66396,18.637663
1996,Canada,CAN,Cape Verde,CPV,-9,-9
1996,Canada,CAN,Sao Tome and Principe,STP,0.000215837,0.039901078
1996,Canada,CAN,Guinea-Bissau,GNB,0.015352014,0.059414256
1996,Canada,CAN,Equatorial Guinea,GNQ,0.16638157,0.028894169
1996,Canada,CAN,Gambia,GMB,0.15750641,0.16501732
1996,Canada,CAN,Mali,MLI,2.3697627,7.6322746
1996,Canada,CAN,Senegal,SEN,1.3475856,11.577771
1996,Canada,CAN,Benin,BEN,0.022605307,3.035857
1996,Canada,CAN,Mauritania,MRT,0.1965867,0.16746171
1996,Canada,CAN,Niger,NER,16.771872,0.63923067
1996,Canada,CAN,Ivory Coast,CIV,28.365387,16.413998
1996,Canada,CAN,Guinea,GIN,20.611595,8.0016584
1996,Canada,CAN,Burkina Faso,BFA,0.005124782,3.4605134
1996,Canada,CAN,Liberia,LBR,0.085485093,9.0211487
1996,Canada,CAN,Sierra Leone,SLE,11.973393,0.68687201
1996,Canada,CAN,Ghana,GHA,2.1357362,59.783573
1996,Canada,CAN,Togo,TGO,32.332836,1.0037388
1996,Canada,CAN,Cameroon,CMR,0.86832988,10.386036
1996,Canada,CAN,Nigeria,NGA,250.45441,33.885597
1996,Canada,CAN,Gabon,GAB,0.25742152,7.8189998
1996,Canada,CAN,Central African Republic,CAF,0.72243714,0.23568134
1996,Canada,CAN,Chad,TCD,0.005042288,0.044964112
1996,Canada,CAN,Congo,COG,0.10209308,0.55993736
1996,Canada,CAN,Democratic Republic of the Congo,COD,16.880976,7.8777137
1996,Canada,CAN,Uganda,UGA,10.171614,7.8116775
1996,Canada,CAN,Kenya,KEN,14.984562,29.428951
