statename,stateabb,year,imports,exports
United States of America,USA,1997,898712.6,687710.7
Canada,CAN,1997,215022.6036,213021.6713
Bahamas,BHM,1997,1621.558997,181.377999
Cuba,CUB,1997,2472.734067,1743.550208
Haiti,HAI,1997,986.3825133,60.91504807
Dominican Republic,DOM,1997,7624.727954,4779.487001
Jamaica,JAM,1997,3069.439443,1896.022164
Trinidad and Tobago,TRI,1997,3028.101573,2543.858962
Barbados,BAR,1997,995.500874,282.94366
Dominica,DMA,1997,134.497037,51.35259259
Grenada,GRN,1997,172.504047,25.89643667
St. Lucia,SLU,1997,332.2167348,62.01544741
St. Vincent and the Grenadines,SVG,1997,172.1268837,46.06445889
Antigua & Barbuda,AAB,1997,,95.11010437
St. Kitts and Nevis,SKN,1997,167.6719314,51.47457759
Mexico,MEX,1997,120789.0057,110439.421
Belize,BLZ,1997,285.98,176.3405
Guatemala,GUA,1997,4170.65512,3081.328937
Honduras,HON,1997,2148.6,1447
El Salvador,SAL,1997,2948.804992,1353.903427
Nicaragua,NIC,1997,1449.8,576.7
Costa Rica,COS,1997,4969.6523,4205.522246
Panama,PAN,1997,3006.365541,650.98636
Colombia,COL,1997,15377.12341,11554.5266
Venezuela,VEN,1997,14755.12347,26320.10483
Guyana,GUY,1997,647.8183242,653.4528792
Suriname,SUR,1997,658.141,701.32
Ecuador,ECU,1997,4510.709721,5214.387392
Peru,PER,1997,9011.3969,6706.869
Brazil,BRA,1997,68135.50215,53906.017
Bolivia,BOL,1997,1934.28045,1272.1
Paraguay,PAR,1997,3951.576279,1400.160651
Chile,CHL,1997,21147.78,18222.53
Argentina,ARG,1997,30284.8085,25371.85225
Uruguay,URU,1997,3715.413,2729.551
United Kingdom,UKG,1997,302837.6013,279550.1393
Ireland,IRE,1997,38903.4853,52566.99195
Netherlands,NTH,1997,158254.0671,172671.046
Belgium,BEL,1997,157292.0983,171958.2925
Luxembourg,LUX,1997,9372.612682,6434.072159
France,FRN,1997,274064.881,292944.4696
Monaco,MNC,1997,,
Liechtenstein,LIE,1997,,
Switzerland,SWZ,1997,75650.32544,75958.33331
Spain,SPN,1997,122753.4183,104146.9
Andorra,AND,1997,,
Portugal,POR,1997,35213.63,23816.35442
Germany,GMY,1997,436483.9602,511491.4403
Poland,POL,1997,42317.91,25753.905
Austria,AUS,1997,64180.44348,58688.27157
Hungary,HUN,1997,21234.028,19099.94
Czech Republic,CZR,1997,29719.03235,22516.80737
Slovakia,SLO,1997,12891.79895,9641.959852
Italy,ITA,1997,208257.0989,238249.319
San Marino,SNM,1997,,
Malta,MLT,1997,2552.916563,1643.839758
Albania,ALB,1997,619.7353686,141.3009392
Macedonia,MAC,1997,1773.53654,1237.415393
Croatia,CRO,1997,9099.7875,4331.61
Yugoslavia,YUG,1997,,
Bosnia and Herzegovina,BOS,1997,2400.356895,380.6577051
Slovenia,SLV,1997,9357.465,8372.311
Greece,GRC,1997,27046.35123,11129.82484
Cyprus,CYP,1997,3696.015432,1248.226158
Bulgaria,BUL,1997,3879.562,4313.587
Moldova,MLD,1997,1164.043,875.1889
Romania,ROM,1997,11142,8386.6
Russia,RUS,1997,52400.371,85076.577
Estonia,EST,1997,4436.9,2931.4
Latvia,LAT,1997,2720.763604,1670.103227
Lithuania,LIT,1997,5643.387,3862.5086
Ukraine,UKR,1997,17113.8,14233.7
Belarus,BLR,1997,8639.422,7206.6039
Armenia,ARM,1997,891.3505695,232.8118788
Georgia,GRG,1997,930.67,230.112
Azerbaijan,AZE,1997,791.4942,781.3103
Finland,FIN,1997,29783.56691,39315.59997
Sweden,SWD,1997,65437.26684,82701.4472
Norway,NOR,1997,35393.15895,47669.17752
Denmark,DEN,1997,44469.90595,48775.19731
Iceland,ICE,1997,2046.105208,1855.407304
Cape Verde,CAP,1997,,
Sao Tome and Principe,STP,1997,41.30816326,9.245019423
Guinea-Bissau,GNB,1997,84.40294843,51.73688085
Equatorial Guinea,EQG,1997,201.4142613,354.5121844
Gambia,GAM,1997,173.9512213,14.68820337
Mali,MLI,1997,1130.710561,284.4683429
Senegal,SEN,1997,1210.395171,693.8622758
Benin,BEN,1997,602.869663,184.7850705
Mauritania,MAA,1997,632.5510032,527.1152652
Niger,NIR,1997,294.4954938,192.2680979
Ivory Coast,CDI,1997,2756.123717,4150.068711
Guinea,GUI,1997,580.7846343,640.0628425
Burkina Faso,BFO,1997,529.8712056,194.1225399
Liberia,LBR,1997,3783.079932,804.55773
Sierra Leone,SIE,1997,234.610818,17.2
Ghana,GHA,1997,3353.702577,1547.493528
Togo,TOG,1997,373.4506183,236.3661339
Cameroon,CAO,1997,1360.235886,1858.087915
Nigeria,NIG,1997,7010.514955,16524.87219
Gabon,GAB,1997,1232.924622,3478.656233
Central African Republic,CEN,1997,134.0930021,98.40475997
Chad,CHA,1997,132.8252802,93.30882202
Congo,CON,1997,926.6262236,2258.785752
Democratic Republic of the Congo,DRC,1997,984.7393036,1278.111596
Uganda,UGA,1997,810.7050556,599.7907192
Kenya,KEN,1997,3246.509899,1948.742224
Tanzania,TAZ,1997,1408.836159,619.8141614
Burundi,BUI,1997,122.7471615,87.31127356
Rwanda,RWA,1997,325.607699,117.7152832
Somalia,SOM,1997,290.71505,157.3472455
